code,cgst,sgst,igst
"0202, 0203,0204, 0205,0206, 0207,0208, 0209,0210",2.5%,2.5%,5%
"0303, 0304,0305, 0306,0307, 0308,0309",2.5%,2.5%,5%
 , , , 
 , , , 
 , , , 
 , , , 
0401,2.5%,2.5%,5%
0402,2.5%,2.5%,5%
0403,2.5%,2.5%,5%
0404,2.5%,2.5%,5%
0406,2.5%,2.5%,5%
0408,2.5%,2.5%,5%
0409,2.5%,2.5%,5%
0410,2.5%,2.5%,5%
0502,2.5%,2.5%,5%
0504,2.5%,2.5%,5%
0505,2.5%,2.5%,5%
0507[Except 050790],2.5%,2.5%,5%
0508,2.5%,2.5%,5%
0510,2.5%,2.5%,5%
0511,2.5%,2.5%,5%
7,2.5%,2.5%,5%
 , , , 
 , , , 
0713,2.5%,2.5%,5%
0714,2.5%,2.5%,5%
0801,2.5%,2.5%,5%
0802,2.5%,2.5%,5%
"0802,0813",2.5%,2.5%,5%
0802,2.5%,2.5%,5%
08,2.5%,2.5%,5%
0804,2.5%,2.5%,5%
0806,2.5%,2.5%,5%
0811,2.5%,2.5%,5%
0812,2.5%,2.5%,5%
 , , , 
0814,2.5%,2.5%,5%
0901,2.5%,2.5%,5%
0902,2.5%,2.5%,5%
0903,2.5%,2.5%,5%
0904,2.5%,2.5%,5%
0905,2.5%,2.5%,5%
0906,2.5%,2.5%,5%
0907,2.5%,2.5%,5%
0908,2.5%,2.5%,5%
0909,2.5%,2.5%,5%
"0910 [otherthan 0910 1110, 0910 3010]",2.5%,2.5%,5%
10,2.5%,2.5%,5%
1001,2.5%,2.5%,5%
1002,2.5%,2.5%,5%
1003,2.5%,2.5%,5%
1004,2.5%,2.5%,5%
1005,2.5%,2.5%,5%
1006,2.5%,2.5%,5%
1007,2.5%,2.5%,5%
1008,2.5%,2.5%,5%
1101,2.5%,2.5%,5%
1102,2.5%,2.5%,5%
1103,2.5%,2.5%,5%
1104,2.5%,2.5%,5%
1105,2.5%,2.5%,5%
1106,2.5%,2.5%,5%
 , , , 
0713,2.5%,2.5%,5%
1109 00 00,2.5%,2.5%,5%
12,2.5%,2.5%,5%
1201,2.5%,2.5%,5%
1202,2.5%,2.5%,5%
1203,2.5%,2.5%,5%
1204,2.5%,2.5%,5%
1205,2.5%,2.5%,5%
1206,2.5%,2.5%,5%
1207,2.5%,2.5%,5%
1208,2.5%,2.5%,5%
1209,2.5%,2.5%,5%
1210 20 00,2.5%,2.5%,5%
1211,2.5%,2.5%,5%
1212,2.5%,2.5%,5%
1301,2.5%,2.5%,5%
1301,2.5%,2.5%,5%
13,2.5%,2.5%,5%
1401,2.5%,2.5%,5%
"1404 [otherthan 1404 9010, 1404 9040, 1404 9050] [1404 9060",2.5%,2.5%,5%
1404 or3305,2.5%,2.5%,5%
1507,2.5%,2.5%,5%
1508,2.5%,2.5%,5%
1509,2.5%,2.5%,5%
1510,2.5%,2.5%,5%
1511,2.5%,2.5%,5%
1512,2.5%,2.5%,5%
1513,2.5%,2.5%,5%
1514,2.5%,2.5%,5%
1515,2.5%,2.5%,5%
1516,2.5%,2.5%,5%
1517,2.5%,2.5%,5%
1518,2.5%,2.5%,5%
1701,2.5%,2.5%,5%
1702 or1704,2.5%,2.5%,5%
1801,2.5%,2.5%,5%
1802,2.5%,2.5%,5%
1803,2.5%,2.5%,5%
1901 20 00,2.5%,2.5%,5%
1902,2.5%,2.5%,5%
1903,2.5%,2.5%,5%
1905,2.5%,2.5%,5%
1905 or2106,2.5%,2.5%,5%
1905 40 00,2.5%,2.5%,5%
2106,2.5%,2.5%,5%
2106 90,2.5%,2.5%,5%
2106 90,2.5%,2.5%,5%
2201 90 10,2.5%,2.5%,5%
2207,2.5%,2.5%,5%
2301,2.5%,2.5%,5%
2302,2.5%,2.5%,5%
2302,2.5%,2.5%,5%
2303,2.5%,2.5%,5%
2304,2.5%,2.5%,5%
2305,2.5%,2.5%,5%
2306,2.5%,2.5%,5%
2307,2.5%,2.5%,5%
2401,2.5%,2.5%,5%
2502,2.5%,2.5%,5%
2503,2.5%,2.5%,5%
